emotion,timestamp
fear,2025-06-09T22:39:47.531383
fear,2025-06-09T22:39:47.931280
happy,2025-06-09T22:39:48.071480
neutral,2025-06-09T22:39:48.195764
fear,2025-06-09T22:39:48.333052
fear,2025-06-09T22:39:48.422739
fear,2025-06-09T22:39:48.488718
happy,2025-06-09T22:39:48.620279
fear,2025-06-09T22:39:48.714949
happy,2025-06-09T22:39:48.844527
fear,2025-06-09T22:39:48.924045
fear,2025-06-09T22:39:49.023396
neutral,2025-06-09T22:39:49.114557
fear,2025-06-09T22:39:49.190133
happy,2025-06-09T22:39:49.278978
fear,2025-06-09T22:39:49.353635
fear,2025-06-09T22:39:49.427765
fear,2025-06-09T22:39:49.522080
fear,2025-06-09T22:39:49.583556
fear,2025-06-09T22:39:49.671484
fear,2025-06-09T22:39:49.781286
fear,2025-06-09T22:39:49.859340
fear,2025-06-09T22:39:49.953714
fear,2025-06-09T22:39:50.027056
fear,2025-06-09T22:39:50.113750
fear,2025-06-09T22:39:50.184707
happy,2025-06-09T22:39:50.274245
fear,2025-06-09T22:39:50.389687
fear,2025-06-09T22:39:50.452500
fear,2025-06-09T22:39:50.516161
fear,2025-06-09T22:39:50.585847
sad,2025-06-09T22:39:50.653469
fear,2025-06-09T22:39:50.714520
fear,2025-06-09T22:39:50.821543
fear,2025-06-09T22:39:50.927959
fear,2025-06-09T22:39:51.042167
fear,2025-06-09T22:39:51.112721
fear,2025-06-09T22:39:51.184604
happy,2025-06-09T22:39:51.276379
fear,2025-06-09T22:39:51.382051
fear,2025-06-09T22:39:51.454078
fear,2025-06-09T22:39:51.513413
fear,2025-06-09T22:39:51.581405
fear,2025-06-09T22:39:51.645427
fear,2025-06-09T22:39:51.713971
fear,2025-06-09T22:39:51.780959
fear,2025-06-09T22:39:51.858624
fear,2025-06-09T22:39:51.914496
fear,2025-06-09T22:39:51.984177
fear,2025-06-09T22:39:52.049812
fear,2025-06-09T22:39:52.116210
fear,2025-06-09T22:39:52.185265
fear,2025-06-09T22:39:52.246726
fear,2025-06-09T22:39:52.312852
fear,2025-06-09T22:39:52.384707
fear,2025-06-09T22:39:52.448202
fear,2025-06-09T22:39:52.515354
fear,2025-06-09T22:39:52.580049
fear,2025-06-09T22:39:52.647068
happy,2025-06-09T22:39:52.716696
fear,2025-06-09T22:39:52.778908
fear,2025-06-09T22:39:52.854550
fear,2025-06-09T22:39:52.948472
fear,2025-06-09T22:39:53.047474
fear,2025-06-09T22:39:53.143513
fear,2025-06-09T22:39:53.215531
fear,2025-06-09T22:39:53.282630
neutral,2025-06-09T22:39:53.381049
neutral,2025-06-09T22:39:53.513739
happy,2025-06-09T22:39:56.019004
happy,2025-06-09T22:39:56.127621
happy,2025-06-09T22:39:56.297325
happy,2025-06-09T22:39:56.439463
happy,2025-06-09T22:39:56.521014
happy,2025-06-09T22:39:56.587695
happy,2025-06-09T22:39:56.647640
fear,2025-06-09T22:39:56.710651
happy,2025-06-09T22:39:56.783668
happy,2025-06-09T22:39:56.845691
fear,2025-06-09T22:39:56.917630
happy,2025-06-09T22:39:56.981459
fear,2025-06-09T22:39:57.051241
fear,2025-06-09T22:39:57.146462
happy,2025-06-09T22:39:57.250167
happy,2025-06-09T22:39:57.316163
fear,2025-06-09T22:39:57.416680
fear,2025-06-09T22:39:57.483548
fear,2025-06-09T22:39:57.586558
happy,2025-06-09T22:39:57.650999
fear,2025-06-09T22:39:57.726046
fear,2025-06-09T22:39:57.815472
happy,2025-06-09T22:39:57.882741
fear,2025-06-09T22:39:57.951999
happy,2025-06-09T22:39:58.014189
happy,2025-06-09T22:39:58.088541
fear,2025-06-09T22:39:58.145942
fear,2025-06-09T22:39:58.228343
fear,2025-06-09T22:39:58.323877
fear,2025-06-09T22:39:58.499290
fear,2025-06-09T22:39:58.599282
fear,2025-06-09T22:39:58.696686
sad,2025-06-09T22:39:58.798940
sad,2025-06-09T22:39:58.899583
sad,2025-06-09T22:39:58.993905
fear,2025-06-09T22:39:59.100444
fear,2025-06-09T22:39:59.193468
fear,2025-06-09T22:39:59.288219
fear,2025-06-09T22:39:59.390230
sad,2025-06-09T22:39:59.499488
sad,2025-06-09T22:39:59.592628
sad,2025-06-09T22:39:59.685293
sad,2025-06-09T22:39:59.746217
fear,2025-06-09T22:39:59.820183
sad,2025-06-09T22:39:59.907352
sad,2025-06-09T22:40:00.039547
sad,2025-06-09T22:40:00.137077
sad,2025-06-09T22:40:00.232466
fear,2025-06-09T22:40:00.329456
fear,2025-06-09T22:40:00.420938
fear,2025-06-09T22:40:00.488819
sad,2025-06-09T22:40:00.611137
sad,2025-06-09T22:40:00.731366
sad,2025-06-09T22:40:00.861577
fear,2025-06-09T22:40:01.035040
neutral,2025-06-09T22:40:01.226366
neutral,2025-06-09T22:40:01.391867
neutral,2025-06-09T22:40:01.518053
neutral,2025-06-09T22:40:01.607730
neutral,2025-06-09T22:40:01.795369
fear,2025-06-09T22:40:01.940516
neutral,2025-06-09T22:40:02.081354
neutral,2025-06-09T22:40:02.150635
neutral,2025-06-09T22:40:02.247487
neutral,2025-06-09T22:40:02.358713
neutral,2025-06-09T22:40:02.500691
neutral,2025-06-09T22:40:02.593431
neutral,2025-06-09T22:40:02.762736
neutral,2025-06-09T22:40:02.997131
sad,2025-06-09T22:40:03.170781
sad,2025-06-09T22:40:03.326358
neutral,2025-06-09T22:40:03.504540
neutral,2025-06-09T22:40:03.672873
sad,2025-06-09T22:40:04.165757
sad,2025-06-09T22:40:04.413494
sad,2025-06-09T22:40:04.564818
sad,2025-06-09T22:40:04.733723
sad,2025-06-09T22:40:05.096376
sad,2025-06-09T22:40:05.504323
sad,2025-06-09T22:40:05.886500
sad,2025-06-09T22:40:06.138502
fear,2025-06-09T22:40:06.335176
neutral,2025-06-09T22:40:06.470028
sad,2025-06-09T22:40:06.658428
neutral,2025-06-09T22:40:06.826878
neutral,2025-06-09T22:40:07.082009
sad,2025-06-09T22:40:07.281867
neutral,2025-06-09T22:40:07.414487
neutral,2025-06-09T22:40:07.598072
neutral,2025-06-09T22:40:07.769618
sad,2025-06-09T22:40:07.901862
sad,2025-06-09T22:40:07.993607
sad,2025-06-09T22:40:08.119248
fear,2025-06-09T22:40:08.217371
fear,2025-06-09T22:40:08.316700
fear,2025-06-09T22:40:08.424816
fear,2025-06-09T22:40:08.512915
sad,2025-06-09T22:40:08.588037
sad,2025-06-09T22:40:08.675560
fear,2025-06-09T22:40:08.749719
fear,2025-06-09T22:40:08.844030
fear,2025-06-09T22:40:08.952586
sad,2025-06-09T22:40:09.057490
sad,2025-06-09T22:40:09.169925
sad,2025-06-09T22:40:09.263038
fear,2025-06-09T22:40:09.394925
sad,2025-06-09T22:40:09.525797
sad,2025-06-09T22:40:09.653212
sad,2025-06-09T22:40:09.744864
sad,2025-06-09T22:40:09.817010
fear,2025-06-09T22:40:09.915867
fear,2025-06-09T22:40:10.017610
sad,2025-06-09T22:40:10.072793
sad,2025-06-09T22:40:10.146234
sad,2025-06-09T22:40:10.245288
sad,2025-06-09T22:40:10.310482
sad,2025-06-09T22:40:10.376886
sad,2025-06-09T22:40:10.447580
sad,2025-06-09T22:40:10.510660
sad,2025-06-09T22:40:10.578020
sad,2025-06-09T22:40:10.647101
sad,2025-06-09T22:40:10.712869
fear,2025-06-09T22:40:10.816143
sad,2025-06-09T22:40:10.912130
sad,2025-06-09T22:40:10.983766
sad,2025-06-09T22:40:11.040701
sad,2025-06-09T22:40:11.144648
sad,2025-06-09T22:40:11.247985
sad,2025-06-09T22:40:11.343179
sad,2025-06-09T22:40:11.443116
neutral,2025-06-09T22:40:11.541794
sad,2025-06-09T22:40:11.646274
sad,2025-06-09T22:40:11.739521
sad,2025-06-09T22:40:11.844525
sad,2025-06-09T22:40:11.943136
sad,2025-06-09T22:40:12.047848
sad,2025-06-09T22:40:12.115590
sad,2025-06-09T22:40:12.246259
sad,2025-06-09T22:40:12.353140
sad,2025-06-09T22:40:12.487445
sad,2025-06-09T22:40:12.619784
sad,2025-06-09T22:40:12.739053
sad,2025-06-09T22:40:12.841704
sad,2025-06-09T22:40:12.942446
sad,2025-06-09T22:40:13.047910
sad,2025-06-09T22:40:13.144122
sad,2025-06-09T22:40:13.240115
fear,2025-06-09T22:40:13.338596
sad,2025-06-09T22:40:13.442780
sad,2025-06-09T22:40:13.543047
sad,2025-06-09T22:40:13.640468
sad,2025-06-09T22:40:13.739479
sad,2025-06-09T22:40:13.883783
neutral,2025-06-09T22:40:13.985127
fear,2025-06-09T22:40:14.096555
neutral,2025-06-09T22:40:14.203235
neutral,2025-06-09T22:40:14.272916
fear,2025-06-09T22:40:14.356647
fear,2025-06-09T22:40:14.440623
fear,2025-06-09T22:40:14.514437
fear,2025-06-09T22:40:14.583264
fear,2025-06-09T22:40:14.671531
fear,2025-06-09T22:40:14.746984
fear,2025-06-09T22:40:14.869329
fear,2025-06-09T22:40:15.024552
neutral,2025-06-09T22:40:15.110954
fear,2025-06-09T22:40:15.176090
sad,2025-06-09T22:40:15.236173
fear,2025-06-09T22:40:15.307950
fear,2025-06-09T22:40:15.373442
fear,2025-06-09T22:40:15.438888
fear,2025-06-09T22:40:15.508848
fear,2025-06-09T22:40:15.572447
sad,2025-06-09T22:40:15.642619
sad,2025-06-09T22:40:15.710430
sad,2025-06-09T22:40:15.772127
fear,2025-06-09T22:40:15.838958
fear,2025-06-09T22:40:15.907937
fear,2025-06-09T22:40:15.974877
fear,2025-06-09T22:40:16.037950
fear,2025-06-09T22:40:16.107599
fear,2025-06-09T22:40:16.170921
fear,2025-06-09T22:40:16.237934
fear,2025-06-09T22:40:16.305245
fear,2025-06-09T22:40:16.370751
fear,2025-06-09T22:40:16.440531
fear,2025-06-09T22:40:16.506062
fear,2025-06-09T22:40:16.571460
fear,2025-06-09T22:40:16.640356
fear,2025-06-09T22:40:16.704170
fear,2025-06-09T22:40:16.803820
fear,2025-06-09T22:40:16.906170
fear,2025-06-09T22:40:16.972273
fear,2025-06-09T22:40:17.039091
fear,2025-06-09T22:40:17.103141
fear,2025-06-09T22:40:17.173765
fear,2025-06-09T22:40:17.237895
sad,2025-06-09T22:40:17.307991
fear,2025-06-09T22:40:17.375448
fear,2025-06-09T22:40:17.440294
sad,2025-06-09T22:40:17.544048
sad,2025-06-09T22:40:17.601227
fear,2025-06-09T22:40:17.701453
sad,2025-06-09T22:40:17.793129
fear,2025-06-09T22:40:17.920809
sad,2025-06-09T22:40:18.023075
fear,2025-06-09T22:40:18.114612
fear,2025-06-09T22:40:18.225456
fear,2025-06-09T22:40:18.308572
fear,2025-06-09T22:40:18.407067
fear,2025-06-09T22:40:18.512250
fear,2025-06-09T22:40:18.599649
sad,2025-06-09T22:40:18.702233
fear,2025-06-09T22:40:18.810848
sad,2025-06-09T22:40:18.878139
sad,2025-06-09T22:40:18.948982
sad,2025-06-09T22:40:19.123963
neutral,2025-06-09T22:40:19.262728
neutral,2025-06-09T22:40:19.344210
neutral,2025-06-09T22:40:19.405338
neutral,2025-06-09T22:40:19.472536
sad,2025-06-09T22:40:19.544623
sad,2025-06-09T22:40:19.627317
fear,2025-06-09T22:40:19.749886
sad,2025-06-09T22:40:19.889874
sad,2025-06-09T22:40:20.078075
neutral,2025-06-09T22:40:20.286097
fear,2025-06-09T22:40:20.466993
fear,2025-06-09T22:40:20.582080
sad,2025-06-09T22:40:20.718516
fear,2025-06-09T22:40:20.854788
sad,2025-06-09T22:40:20.983896
sad,2025-06-09T22:40:21.170222
sad,2025-06-09T22:40:21.337245
sad,2025-06-09T22:40:21.530037
sad,2025-06-09T22:40:21.634932
sad,2025-06-09T22:40:21.777971
fear,2025-06-09T22:40:21.863831
sad,2025-06-09T22:40:21.965823
sad,2025-06-09T22:40:22.064638
sad,2025-06-09T22:40:22.163608
fear,2025-06-09T22:40:22.279561
sad,2025-06-09T22:40:22.410229
neutral,2025-06-09T22:40:22.564033
sad,2025-06-09T22:40:22.664595
sad,2025-06-09T22:40:22.748506
sad,2025-06-09T22:40:22.896701
sad,2025-06-09T22:40:23.052410
fear,2025-06-09T22:40:23.147571
fear,2025-06-09T22:40:23.259582
fear,2025-06-09T22:40:23.351391
sad,2025-06-09T22:40:23.469345
sad,2025-06-09T22:40:23.586947
sad,2025-06-09T22:40:23.706675
sad,2025-06-09T22:40:23.815907
sad,2025-06-09T22:40:24.000010
sad,2025-06-09T22:40:24.149569
sad,2025-06-09T22:40:24.339747
sad,2025-06-09T22:40:24.435177
sad,2025-06-09T22:40:24.542302
fear,2025-06-09T22:40:24.681938
sad,2025-06-09T22:40:24.828728
sad,2025-06-09T22:40:24.972396
sad,2025-06-09T22:40:25.141975
sad,2025-06-09T22:40:25.268785
sad,2025-06-09T22:40:25.362614
neutral,2025-06-09T22:40:25.462754
sad,2025-06-09T22:40:25.559746
sad,2025-06-09T22:40:25.660805
sad,2025-06-09T22:40:25.762244
sad,2025-06-09T22:40:25.858763
neutral,2025-06-09T22:40:25.962781
sad,2025-06-09T22:40:26.066914
sad,2025-06-09T22:40:26.162103
sad,2025-06-09T22:40:26.258454
sad,2025-06-09T22:40:26.360341
sad,2025-06-09T22:40:26.461189
neutral,2025-06-09T22:40:26.557652
sad,2025-06-09T22:40:26.661642
sad,2025-06-09T22:40:26.758016
sad,2025-06-09T22:40:26.861353
sad,2025-06-09T22:40:26.998807
sad,2025-06-09T22:40:27.109663
sad,2025-06-09T22:40:27.221786
neutral,2025-06-09T22:40:27.335396
sad,2025-06-09T22:40:27.433493
sad,2025-06-09T22:40:27.534435
neutral,2025-06-09T22:40:27.632889
sad,2025-06-09T22:40:27.728882
neutral,2025-06-09T22:40:27.798837
neutral,2025-06-09T22:40:27.865083
sad,2025-06-09T22:40:27.931905
neutral,2025-06-09T22:40:28.000841
neutral,2025-06-09T22:40:28.100607
sad,2025-06-09T22:40:28.200552
happy,2025-06-09T22:40:28.298435
sad,2025-06-09T22:40:28.395586
neutral,2025-06-09T22:40:28.497334
sad,2025-06-09T22:40:28.562099
neutral,2025-06-09T22:40:28.661603
neutral,2025-06-09T22:40:28.780608
sad,2025-06-09T22:40:28.858286
sad,2025-06-09T22:40:28.927658
happy,2025-06-09T22:40:28.994409
happy,2025-06-09T22:40:29.062177
neutral,2025-06-09T22:40:29.131287
happy,2025-06-09T22:40:29.196324
happy,2025-06-09T22:40:29.264639
happy,2025-06-09T22:40:29.330304
happy,2025-06-09T22:40:29.395990
neutral,2025-06-09T22:40:29.493358
happy,2025-06-09T22:40:29.594576
sad,2025-06-09T22:40:29.695923
neutral,2025-06-09T22:40:29.764477
neutral,2025-06-09T22:40:29.863072
happy,2025-06-09T22:40:29.958731
happy,2025-06-09T22:40:30.062484
sad,2025-06-09T22:40:30.163385
sad,2025-06-09T22:40:30.268386
sad,2025-06-09T22:40:30.366652
sad,2025-06-09T22:40:30.463124
fear,2025-06-09T22:40:30.562720
fear,2025-06-09T22:40:30.665973
sad,2025-06-09T22:40:30.762526
sad,2025-06-09T22:40:30.862403
sad,2025-06-09T22:40:30.964966
sad,2025-06-09T22:40:31.068216
sad,2025-06-09T22:40:31.162731
